Year,Deaths,Crashes
1970,2226,298
1971,2228,271
1972,3346,344
1973,2814,333
1974,2621,270
1975,1856,316
1976,2419,277
1977,2449,340
1978,2042,356
1979,2511,328
1980,2203,325
1981,1506,272
1982,1958,250
1983,1921,238
1984,1273,234
1985,2968,261
1986,1763,238
1987,2064,277
1988,2313,254
1989,2507,265
1990,1631,261
1991,1957,240
1992,2299,266
1993,1760,275
1994,2018,231
1995,1828,266
1996,2796,251
1997,1768,232
1998,1721,225
1999,1150,221
2000,1586,198
2001,1539,210
2002,1418,197
2003,1233,201
2004,767,178
2005,1463,194
2006,1298,192
2007,981,169
2008,952,189
2009,1108,163
2010,1130,162
2011,828,154
2012,800,156
2013,459,138
2014,1328,122
2015,898,123
2016,629,102
2017,399,101
2018,1040,113
2019,578,125
2020,463,90
2021,414,113
2022,357,95
2023,178,214
2024,405,207
2025,397,61
